year,region,value,seriesID,period,periodName
2010,6,9.6,LAURD860000000000003,12,December
2010,6,9.7,LAURD860000000000003,11,November
2010,6,9.4,LAURD860000000000003,10,October
2010,6,9.5,LAURD860000000000003,09,September
2010,6,9.7,LAURD860000000000003,08,August
2010,6,9.9,LAURD860000000000003,07,July
2010,6,10.1,LAURD860000000000003,06,June
2010,6,9.8,LAURD860000000000003,05,May
2010,6,9.9,LAURD860000000000003,04,April
2010,6,10.9,LAURD860000000000003,03,March
2010,6,11.5,LAURD860000000000003,02,February
2010,6,11.6,LAURD860000000000003,01,January
2009,6,10.6,LAURD860000000000003,12,December
2009,6,10.1,LAURD860000000000003,11,November
2009,6,10.5,LAURD860000000000003,10,October
2009,6,10.5,LAURD860000000000003,09,September
2009,6,10.7,LAURD860000000000003,08,August
2009,6,11.0,LAURD860000000000003,07,July
2009,6,11.2,LAURD860000000000003,06,June
2009,6,10.4,LAURD860000000000003,05,May
2009,6,9.8,LAURD860000000000003,04,April
2009,6,10.4,LAURD860000000000003,03,March
2009,6,10.3,LAURD860000000000003,02,February
2009,6,9.6,LAURD860000000000003,01,January
2008,6,7.9,LAURD860000000000003,12,December
2008,6,6.9,LAURD860000000000003,11,November
2008,6,6.6,LAURD860000000000003,10,October
2008,6,6.6,LAURD860000000000003,09,September
2008,6,6.6,LAURD860000000000003,08,August
2008,6,6.7,LAURD860000000000003,07,July
2008,6,6.5,LAURD860000000000003,06,June
2008,6,5.8,LAURD860000000000003,05,May
2008,6,5.0,LAURD860000000000003,04,April
2008,6,5.6,LAURD860000000000003,03,March
2008,6,5.7,LAURD860000000000003,02,February
2008,6,5.7,LAURD860000000000003,01,January
2007,6,5.2,LAURD860000000000003,12,December
2007,6,4.7,LAURD860000000000003,11,November
2007,6,4.7,LAURD860000000000003,10,October
2007,6,4.8,LAURD860000000000003,09,September
2007,6,4.8,LAURD860000000000003,08,August
2007,6,5.0,LAURD860000000000003,07,July
2007,6,5.0,LAURD860000000000003,06,June
2007,6,4.4,LAURD860000000000003,05,May
2007,6,4.3,LAURD860000000000003,04,April
2007,6,4.8,LAURD860000000000003,03,March
2007,6,5.4,LAURD860000000000003,02,February
2007,6,5.5,LAURD860000000000003,01,January
2006,6,4.7,LAURD860000000000003,12,December
2006,6,4.7,LAURD860000000000003,11,November
2006,6,4.5,LAURD860000000000003,10,October
